Time [sec],x0 [m],y0 [m],size [m],x1 [m],y1 [m],size [m],x2 [m],y2 [m],size [m],x3 [m],y3 [m],size [m]
0.0000,1.32660009,-3.49407327,0.18188044,2.55364785,1.74039701,0.62865663,,,,,,
0.1000,1.39749819,-3.48028410,0.18188044,2.59067357,1.73742754,0.62865663,,,,,,
0.2000,1.47711467,-3.53341743,0.18188044,2.63267040,1.76872788,0.62865663,,,,,,
0.3000,1.57405576,-3.55580201,0.18188044,2.67804229,1.79497248,0.62865663,,,,,,
0.4000,1.68492162,-3.55138206,0.18188044,2.73057594,1.79603748,0.62865663,,,,,,
0.5000,1.79640068,-3.55422876,0.18188044,2.77622979,1.82210720,0.62865663,,,,,,
0.6000,1.91210641,-3.50602548,0.18188044,2.80490323,1.88398825,0.62865663,,,,,,
0.7000,2.02560506,-3.46743886,0.18188044,2.84396036,1.93381236,0.62865663,,,,,,
0.8000,2.13475232,-3.43120662,0.18188044,2.84916604,2.00968512,0.62865663,,,,,,
0.9000,2.24970987,-3.37569157,0.18188044,2.84679652,2.07942648,0.62865663,,,,,,
1.0000,2.39391023,-3.37185445,0.18188044,2.86474790,2.14933929,0.62865663,,,,,,
1.1000,2.52657027,-3.39800127,0.18188044,2.85146864,2.23195472,0.62865663,,,,7.45053390,-3.72676194,1.08879383
1.2000,2.66651053,-3.38482363,0.18188044,2.84799717,2.31241720,0.62865663,,,,7.43741424,-3.73050194,1.08879383
1.3000,2.80038793,-3.36067293,0.18188044,2.83459819,2.39512671,0.62865663,,,,7.42913870,-3.74233796,1.08879383
1.4000,2.94530100,-3.34457083,0.18188044,2.82926212,2.48344440,0.62865663,,,,7.39664364,-3.73705021,1.08879383
1.5000,3.09089646,-3.30400500,0.18188044,2.83388018,2.57197205,0.62865663,,,,7.37269154,-3.72934024,1.08879383
1.6000,3.23449821,-3.29796599,0.18188044,2.81718765,2.65441645,0.62865663,,,,7.37189423,-3.68986588,1.08879383
1.7000,3.37692707,-3.21992810,0.18188044,2.77780118,2.73531234,0.62865663,,,,7.37372987,-3.63804011,1.08879383
1.8000,3.50205139,-3.12952284,0.18188044,2.78563132,2.83192565,0.62865663,,,,7.33445530,-3.59527074,1.08879383
1.9000,3.60808863,-3.02872461,0.18188044,2.79693137,2.92932396,0.62865663,,,,7.32402319,-3.53065219,1.08879383
2.0000,3.70008054,-2.90457199,0.18188044,2.77959221,3.01804999,0.62865663,,,,7.34103681,-3.45726529,1.08879383
2.1000,3.82231925,-2.81185043,0.18188044,2.76785747,3.10631580,0.62865663,,,,7.35226553,-3.38976488,1.08879383
2.2000,3.97867217,-2.76601978,0.18188044,2.80021963,3.19688734,0.62865663,,,,7.42109606,-3.32735569,1.08879383
2.3000,4.10582729,-2.66094627,0.18188044,2.84999433,3.28147938,0.62865663,,,,7.50245679,-3.28905091,1.08879383
2.4000,4.21320741,-2.55568496,0.18188044,2.86570862,3.37065337,0.62865663,,,,7.55361175,-3.22151190,1.08879383
2.5000,4.35838953,-2.46984685,0.18188044,2.91058454,3.44665695,0.62865663,,,,7.57605800,-3.11732249,1.08879383
2.6000,4.48752133,-2.36497902,0.18188044,2.97970508,3.51172142,0.62865663,,,,7.56355466,-3.01192947,1.08879383
2.7000,4.64768144,-2.30461822,0.18188044,3.06910215,3.56485276,0.62865663,,,,7.56708670,-2.91285233,1.08879383
2.8000,4.82283309,-2.27004082,0.18188044,3.14058542,3.63447824,0.62865663,,,,7.52952547,-2.81352965,1.08879383
2.9000,4.98672520,-2.21568983,0.18188044,3.22623132,3.68078758,0.62865663,,,,7.53747346,-2.70721787,1.08879383
3.0000,5.15871425,-2.16933874,0.18188044,3.30232641,3.74708732,0.62865663,,,,7.54062064,-2.59897797,1.08879383
3.1000,5.32047344,-2.13276302,0.18188044,3.36888685,3.82831105,0.62865663,,,,7.55579151,-2.48479604,1.08879383
3.2000,5.47881361,-2.09766212,0.18188044,3.46690339,3.87641098,0.62865663,2.58682102,2.82354464,0.90141046,7.53288171,-2.37418798,1.08879383
3.3000,5.64106512,-2.07747941,0.18188044,3.57424439,3.92277032,0.62865663,2.64825591,2.65856967,0.90141046,7.52842754,-2.27201883,1.08879383
3.4000,5.79755634,-2.08548162,0.18188044,3.69791401,3.93233631,0.62865663,2.44379693,2.53714866,0.90141046,7.47631757,-2.17226735,1.08879383
