grf_right_y,grf_right_z,grf_left_y,grf_left_z
-0.0053990446031094,-0.0024327635765076,-0.0102329067885876,-0.8213706612586975
-0.0053476020693779,-0.0048389732837677,-0.0114646069705486,-0.8237653970718384
-0.0056308135390282,-0.0050152502954006,-0.0124783106148243,-0.8233179450035095
-0.0055721402168274,-0.0050198137760162,-0.0120502244681120,-0.8245158791542053
-0.0058554075658321,-0.0044688098132610,-0.0130286403000355,-0.8208549618721008
-0.0056347064673901,-0.0048483982682228,-0.0123173426836729,-0.8231870532035828
-0.0056352950632572,-0.0044657029211521,-0.0131928361952305,-0.8200698494911194
-0.0056279338896275,-0.0044257529079914,-0.0135695915669203,-0.8171798586845398
-0.0057611279189587,-0.0044424645602703,-0.0138615239411592,-0.8165883421897888
-0.0063265636563301,-0.0045929923653603,-0.0151365958154202,-0.8143300414085388
-0.0055956244468689,-0.0049155876040459,-0.0131016708910465,-0.8112065196037292
-0.0054782480001450,-0.0049785077571869,-0.0127852503210306,-0.8106849789619446
-0.0054518952965736,-0.0049914196133614,-0.0127137098461390,-0.8105716109275818
-0.0054430887103081,-0.0049944333732128,-0.0126923937350512,-0.8105393052101135
-0.0055056661367416,-0.0045213252305984,-0.0131946038454771,-0.8116641640663147
-0.0056986771523952,-0.0039723739027977,-0.0144398082047701,-0.8133397698402405
-0.0062670148909092,-0.0029097832739353,-0.0173999145627022,-0.8167867660522461
-0.0067331865429878,-0.0028015859425068,-0.0218417830765247,-0.8200134634971619
-0.0067992322146893,-0.0026761442422867,-0.0216746944934130,-0.8201693892478943
-0.0063406564295292,-0.0032803565263748,-0.0262058749794960,-0.8216528296470642
-0.0060703568160534,-0.0047993324697018,-0.0252074226737022,-0.8196786642074585
-0.0060554072260857,-0.0050933659076691,-0.0251567810773849,-0.8195013999938965
-0.0060569606721401,-0.0053318031132221,-0.0251349098980427,-0.8193539381027222
-0.0060019567608833,-0.0056608729064465,-0.0250906795263290,-0.8193124532699585
-0.0061334855854511,-0.0056625679135323,-0.0255530625581741,-0.8197102546691895
-0.0059966444969177,-0.0059802830219269,-0.0252513773739338,-0.8193898200988770
-0.0059523321688175,-0.0060379281640053,-0.0251259878277779,-0.8192725777626038
-0.0059492960572243,-0.0060673132538795,-0.0251881852746010,-0.8192277550697327
-0.0061108544468880,-0.0057543627917767,-0.0260144248604774,-0.8187902569770813
-0.0063349194824696,-0.0054192580282688,-0.0272814147174358,-0.8179469704627991
-0.0064082778990269,-0.0057482458651066,-0.0285289958119392,-0.8166923522949219
-0.0063542574644089,-0.0059774070978165,-0.0287061482667923,-0.8164194226264954
-0.0066881626844406,-0.0055214315652847,-0.0309703722596169,-0.8158324956893921
-0.0065910667181015,-0.0053067654371262,-0.0333468690514565,-0.8185518383979797
-0.0065561197698116,-0.0046389177441597,-0.0362227521836758,-0.8223161697387695
-0.0063070245087147,-0.0048597417771816,-0.0378595478832722,-0.8254051804542542
-0.0061729885637760,-0.0043140426278114,-0.0404559336602688,-0.8280448317527771
-0.0061025731265545,-0.0042753927409649,-0.0397508814930916,-0.8298372626304626
-0.0060846433043480,-0.0042210482060909,-0.0395583324134350,-0.8297925591468811
-0.0068021044135094,-0.0051648318767548,-0.0446628406643867,-0.8323166966438293
-0.0064735114574432,-0.0043721124529839,-0.0420540459454060,-0.8300797343254089
-0.0071999430656433,-0.0054501444101334,-0.0463218390941620,-0.8308320045471191
-0.0082839280366898,-0.0026876144111156,-0.0548766963183880,-0.8379642367362976
-0.0093230903148651,-0.0034412406384945,-0.0582336708903313,-0.8441721200942993
-0.0096233859658241,-0.0048733726143837,-0.0573766008019447,-0.8449477553367615
-0.0097771324217319,-0.0067626945674419,-0.0584557652473450,-0.8448370695114136
-0.0097474120557308,-0.0052500553429127,-0.0579911172389984,-0.8454149365425110
-0.0097697749733925,-0.0081589221954346,-0.0593414604663849,-0.8452630043029785
-0.0108211897313595,-0.0102717578411102,-0.0643814653158188,-0.8493281006813049
-0.0110906250774860,-0.0108063444495201,-0.0656954050064087,-0.8504573702812195
-0.0110902115702629,-0.0108089111745358,-0.0656963586807251,-0.8504581451416016
-0.0105854459106922,-0.0110101662576199,-0.0666252151131630,-0.8501072525978088
-0.0103992410004139,-0.0110952667891979,-0.0670209750533104,-0.8500198721885681
-0.0115882866084576,-0.0105886943638325,-0.0650175809860229,-0.8510595560073853
